Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
351350;26818;1035;587;859;811;871;528;958;1079;964;952;629;786;36877
351360;721;16;14;34;12;13;22;16;17;12;23;16;3;919
351370;5332;138;267;257;410;255;284;173;189;177;144;143;136;7905
351380;69841;2141;2287;2505;2288;2386;2385;2392;3189;2538;2235;2048;1472;97707
351385;188;1;1;0;1;3;1;3;1;0;0;0;0;199
351390;807;16;11;35;25;16;16;13;13;15;5;12;22;1006
351400;278;1;5;4;8;34;14;10;40;21;10;4;2;431
351410;2983;79;51;92;1979;3371;348;177;149;123;277;312;120;10061
351420;245;4;2;3;4;8;0;5;5;3;0;0;1;280
351430;1071;40;58;86;58;66;169;80;57;72;22;146;43;1968
351440;5292;130;173;136;119;155;215;161;165;216;189;158;121;7230
351450;1420;46;30;31;43;72;75;32;32;36;37;17;20;1891
351460;894;23;134;66;220;242;28;6;18;184;206;42;7;2070
351470;886;13;113;36;54;98;197;58;52;45;45;37;37;1671
351480;881;38;20;37;45;46;45;24;30;25;31;23;27;1272
